session;treatment;period;phase;profit;subject;q;qi_min;Subject;client;Geschlecht;Alter;Trust_1;Trust_2;LM_1;LM_2;LM_3;LM_4;LM_5;LM_6;LM_7;LM_8;LM_9;LM_10;MM_1;MM_2;MM_3;MM_4;MM_5;MM_6;Studiengang;#N;#E;#T
S01;weakR;1;1;204;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;199.5;2;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;210;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;151.5;4;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;195;5;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;242.5;6;25;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;195;7;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;265;8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;170;9;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;229.5;10;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;224;11;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;229.5;12;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;107;13;90;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;299;14;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;294.5;15;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;1;235;16;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;1;224;1;20;10;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;1;229.5;2;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;1;224;3;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;1;181.5;4;45;45;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;1;210;5;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;1;257.5;6;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;1;210;7;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;1;269.5;8;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
